Anodizado
Fecha: 07-Sep-2018 14:04:10
Tensión	Corriente
6.000000e+001	9.999050e-002
6.000000e+001	6.052380e-002
6.000000e+001	4.979060e-002
6.000000e+001	4.448500e-002
6.000000e+001	4.164250e-002
6.000000e+001	4.023410e-002
6.000000e+001	3.982480e-002
6.000000e+001	4.040780e-002
6.000000e+001	4.155670e-002
6.000000e+001	4.313680e-002
6.000000e+001	4.499810e-002
6.000000e+001	4.719530e-002
6.000000e+001	4.934180e-002
6.000000e+001	5.147740e-002
6.000000e+001	5.342410e-002
6.000000e+001	5.553880e-002
6.000000e+001	5.737880e-002
6.000000e+001	5.996290e-002
6.000000e+001	6.169130e-002
6.000000e+001	6.318100e-002
6.000000e+001	6.451350e-002
6.000000e+001	6.605550e-002
6.000000e+001	6.727200e-002
6.000000e+001	6.827300e-002
6.000000e+001	6.909950e-002
6.000000e+001	6.998900e-002
6.000000e+001	7.073440e-002
6.000000e+001	7.142040e-002
6.000000e+001	7.195910e-002
6.000000e+001	7.251440e-002
6.000000e+001	7.297710e-002
6.000000e+001	7.318570e-002
6.000000e+001	7.384130e-002
6.000000e+001	7.448970e-002
6.000000e+001	7.489650e-002
6.000000e+001	7.523250e-002
6.000000e+001	7.564410e-002
6.000000e+001	7.588750e-002
6.000000e+001	7.618920e-002
6.000000e+001	7.649900e-002
6.000000e+001	7.663280e-002
6.000000e+001	7.695720e-002
6.000000e+001	7.729160e-002
6.000000e+001	7.754530e-002
6.000000e+001	7.767180e-002
6.000000e+001	7.777980e-002
6.000000e+001	7.803030e-002
6.000000e+001	7.815200e-002
6.000000e+001	7.832380e-002
6.000000e+001	7.876450e-002
6.000000e+001	7.916130e-002
6.000000e+001	7.904910e-002
6.000000e+001	7.897990e-002
6.000000e+001	7.920360e-002
6.000000e+001	7.917820e-002
6.000000e+001	7.920540e-002
6.000000e+001	7.958100e-002
6.000000e+001	7.959520e-002
6.000000e+001	7.964720e-002
6.000000e+001	8.011840e-002
6.000000e+001	8.000570e-002
6.000000e+001	7.993170e-002
6.000000e+001	7.968920e-002
6.000000e+001	7.974960e-002
6.000000e+001	8.017330e-002
6.000000e+001	8.038500e-002
6.000000e+001	8.029750e-002
6.000000e+001	8.030910e-002
6.000000e+001	8.057500e-002
6.000000e+001	8.105440e-002
6.000000e+001	8.142220e-002
6.000000e+001	8.134370e-002
6.000000e+001	8.137000e-002
6.000000e+001	8.138720e-002
6.000000e+001	8.141270e-002
6.000000e+001	8.139860e-002
6.000000e+001	8.142790e-002
