Anodizado
Fecha: 26-Sep-2018 09:59:07
Tensión	Corriente
7.000000e+001	2.192780e-002
7.000000e+001	2.087620e-002
7.000000e+001	2.029480e-002
7.000000e+001	1.975050e-002
7.000000e+001	1.924870e-002
7.000000e+001	1.876900e-002
7.000000e+001	1.832830e-002
7.000000e+001	1.790210e-002
7.000000e+001	1.748250e-002
7.000000e+001	1.712050e-002
7.000000e+001	1.674540e-002
7.000000e+001	1.639350e-002
7.000000e+001	1.605180e-002
7.000000e+001	1.571680e-002
7.000000e+001	1.541770e-002
7.000000e+001	1.512400e-002
7.000000e+001	1.485680e-002
7.000000e+001	1.445050e-002
7.000000e+001	1.417020e-002
7.000000e+001	1.393110e-002
7.000000e+001	1.369520e-002
7.000000e+001	1.346780e-002
7.000000e+001	1.322350e-002
7.000000e+001	1.300820e-002
7.000000e+001	1.279220e-002
7.000000e+001	1.259710e-002
7.000000e+001	1.241360e-002
7.000000e+001	1.222650e-002
7.000000e+001	1.203030e-002
7.000000e+001	1.186970e-002
7.000000e+001	1.170230e-002
7.000000e+001	1.154530e-002
7.000000e+001	1.138600e-002
7.000000e+001	1.117440e-002
7.000000e+001	1.103980e-002
7.000000e+001	1.091850e-002
7.000000e+001	1.076760e-002
7.000000e+001	1.065420e-002
7.000000e+001	1.051470e-002
7.000000e+001	1.039160e-002
7.000000e+001	1.026350e-002
7.000000e+001	1.013190e-002
7.000000e+001	1.002590e-002
7.000000e+001	9.910330e-003
7.000000e+001	9.776470e-003
7.000000e+001	9.661930e-003
7.000000e+001	9.554430e-003
7.000000e+001	9.448180e-003
7.000000e+001	9.332610e-003
7.000000e+001	9.202010e-003
7.000000e+001	9.087680e-003
7.000000e+001	8.990770e-003
7.000000e+001	8.883660e-003
7.000000e+001	8.794860e-003
7.000000e+001	8.704490e-003
7.000000e+001	8.619270e-003
7.000000e+001	8.530850e-003
7.000000e+001	8.440470e-003
7.000000e+001	8.349200e-003
7.000000e+001	8.264150e-003
7.000000e+001	8.182470e-003
7.000000e+001	8.097250e-003
7.000000e+001	8.032140e-003
7.000000e+001	7.960470e-003
7.000000e+001	7.896640e-003
7.000000e+001	7.784310e-003
7.000000e+001	7.709360e-003
7.000000e+001	7.631500e-003
7.000000e+001	7.552530e-003
7.000000e+001	7.480390e-003
7.000000e+001	7.406470e-003
7.000000e+001	7.348240e-003
7.000000e+001	7.282720e-003
7.000000e+001	7.236870e-003
7.000000e+001	7.166820e-003
7.000000e+001	7.098790e-003
7.000000e+001	7.034840e-003
7.000000e+001	6.963780e-003
7.000000e+001	6.912160e-003
7.000000e+001	6.861430e-003
7.000000e+001	6.805630e-003
7.000000e+001	6.731280e-003
