Anodizado
Fecha: 10-Jan-2014 13:39:10
Tensión	Corriente
0.000000e+000	5.174660e-005
3.333333e-001	8.038130e-005
6.666667e-001	1.083490e-004
1.000000e+000	1.392120e-004
1.333333e+000	1.691450e-004
1.666667e+000	1.985130e-004
2.000000e+000	2.277120e-004
2.333333e+000	2.549800e-004
2.666667e+000	2.792860e-004
3.000000e+000	3.087020e-004
3.333333e+000	3.336800e-004
3.666667e+000	3.572940e-004
4.000000e+000	3.798420e-004
4.333333e+000	4.025780e-004
4.666667e+000	4.209580e-004
5.000000e+000	4.530400e-004
5.333333e+000	4.813910e-004
5.666667e+000	5.089770e-004
6.000000e+000	5.375470e-004
6.333333e+000	5.616010e-004
6.666667e+000	5.849350e-004
7.000000e+000	6.204350e-004
7.333333e+000	6.496770e-004
7.666667e+000	6.751940e-004
8.000000e+000	7.006960e-004
8.333333e+000	7.205180e-004
8.666667e+000	7.378820e-004
9.000000e+000	7.709930e-004
9.333333e+000	7.944260e-004
9.666667e+000	8.159400e-004
1.000000e+001	8.357190e-004
1.033333e+001	8.462900e-004
1.066667e+001	8.599760e-004
1.100000e+001	8.910630e-004
1.133333e+001	9.098120e-004
1.166667e+001	9.242790e-004
1.200000e+001	9.401970e-004
1.233333e+001	9.446020e-004
1.266667e+001	9.539760e-004
1.300000e+001	9.838770e-004
1.333333e+001	9.946200e-004
1.366667e+001	1.004670e-003
1.400000e+001	1.020350e-003
1.433333e+001	1.022170e-003
1.466667e+001	1.051090e-003
1.500000e+001	1.078720e-003
1.533333e+001	1.098630e-003
1.566667e+001	1.118540e-003
1.600000e+001	1.137180e-003
1.633333e+001	1.144140e-003
1.666667e+001	1.176460e-003
1.700000e+001	1.212000e-003
1.733333e+001	1.238720e-003
1.766667e+001	1.259900e-003
1.800000e+001	1.281700e-003
1.833333e+001	1.292310e-003
1.866667e+001	1.343920e-003
1.900000e+001	1.375210e-003
1.933333e+001	1.402170e-003
1.966667e+001	1.427120e-003
2.000000e+001	1.451970e-003
2.033333e+001	1.459690e-003
2.066667e+001	1.515290e-003
2.100000e+001	1.552710e-003
2.133333e+001	1.577920e-003
2.166667e+001	1.603070e-003
2.200000e+001	1.614840e-003
2.233333e+001	1.636290e-003
2.266667e+001	1.698400e-003
2.300000e+001	1.732970e-003
2.333333e+001	1.753970e-003
2.366667e+001	1.777860e-003
2.400000e+001	1.787720e-003
2.433333e+001	1.808930e-003
2.466667e+001	1.874580e-003
2.500000e+001	1.904010e-003
2.533333e+001	1.926620e-003
2.566667e+001	1.947520e-003
2.600000e+001	1.959040e-003
2.633333e+001	1.979650e-003
2.666667e+001	2.045510e-003
2.700000e+001	2.070210e-003
2.733333e+001	2.089670e-003
2.766667e+001	2.113060e-003
2.800000e+001	2.112130e-003
2.833333e+001	2.140020e-003
2.866667e+001	2.208740e-003
2.900000e+001	2.234230e-003
2.933333e+001	2.248040e-003
2.966667e+001	2.269180e-003
3.000000e+001	2.272710e-003
3.033333e+001	2.293390e-003
3.066667e+001	2.368960e-003
3.100000e+001	2.387150e-003
3.133333e+001	2.402690e-003
3.166667e+001	2.421910e-003
3.200000e+001	2.417850e-003
3.233333e+001	2.455500e-003
3.266667e+001	2.522200e-003
3.300000e+001	2.544100e-003
3.333333e+001	2.552840e-003
3.366667e+001	2.572360e-003
3.400000e+001	2.557530e-003
3.433333e+001	2.600670e-003
3.466667e+001	2.667590e-003
3.500000e+001	2.680700e-003
3.533333e+001	2.690880e-003
3.566667e+001	2.704590e-003
3.600000e+001	2.688980e-003
3.633333e+001	2.760490e-003
3.666667e+001	2.802720e-003
3.700000e+001	2.814810e-003
3.733333e+001	2.828480e-003
3.766667e+001	2.840200e-003
3.800000e+001	2.826440e-003
3.833333e+001	2.891480e-003
3.866667e+001	2.941150e-003
3.900000e+001	2.960400e-003
3.933333e+001	2.965310e-003
3.966667e+001	2.971220e-003
4.000000e+001	2.964180e-003
4.033333e+001	3.066720e-003
4.066667e+001	3.095400e-003
4.100000e+001	3.107870e-003
4.133333e+001	3.119200e-003
4.166667e+001	3.133660e-003
4.200000e+001	3.116010e-003
4.233333e+001	3.221770e-003
4.266667e+001	3.253690e-003
4.300000e+001	3.258090e-003
