Anodizado
Fecha: 21-Sep-2018 13:24:19
Tensión	Corriente
4.000000e+001	9.999480e-002
4.000000e+001	9.936380e-002
4.000000e+001	8.669500e-002
4.000000e+001	7.689710e-002
4.000000e+001	6.837970e-002
4.000000e+001	6.150510e-002
4.000000e+001	5.562680e-002
4.000000e+001	5.077510e-002
4.000000e+001	4.670070e-002
4.000000e+001	4.350290e-002
4.000000e+001	4.092090e-002
4.000000e+001	3.868360e-002
4.000000e+001	3.685690e-002
4.000000e+001	3.531900e-002
4.000000e+001	3.408660e-002
4.000000e+001	3.315760e-002
4.000000e+001	3.239900e-002
4.000000e+001	3.158200e-002
4.000000e+001	3.119530e-002
4.000000e+001	3.093530e-002
4.000000e+001	3.080090e-002
4.000000e+001	3.076150e-002
4.000000e+001	3.078310e-002
4.000000e+001	3.090430e-002
4.000000e+001	3.108930e-002
4.000000e+001	3.135330e-002
4.000000e+001	3.164020e-002
4.000000e+001	3.194130e-002
4.000000e+001	3.228500e-002
4.000000e+001	3.261460e-002
4.000000e+001	3.298580e-002
4.000000e+001	3.332590e-002
4.000000e+001	3.366890e-002
4.000000e+001	3.414830e-002
4.000000e+001	3.446020e-002
4.000000e+001	3.477530e-002
4.000000e+001	3.502490e-002
4.000000e+001	3.527030e-002
4.000000e+001	3.548480e-002
4.000000e+001	3.570460e-002
4.000000e+001	3.587970e-002
4.000000e+001	3.599450e-002
4.000000e+001	3.606390e-002
4.000000e+001	3.619170e-002
4.000000e+001	3.627960e-002
4.000000e+001	3.634770e-002
4.000000e+001	3.640140e-002
4.000000e+001	3.649350e-002
4.000000e+001	3.658460e-002
4.000000e+001	3.667240e-002
4.000000e+001	3.675240e-002
4.000000e+001	3.679360e-002
4.000000e+001	3.687870e-002
4.000000e+001	3.693900e-002
4.000000e+001	3.699820e-002
4.000000e+001	3.704900e-002
4.000000e+001	3.706650e-002
4.000000e+001	3.711820e-002
4.000000e+001	3.712460e-002
4.000000e+001	3.714470e-002
4.000000e+001	3.715120e-002
4.000000e+001	3.715610e-002
4.000000e+001	3.717380e-002
4.000000e+001	3.716550e-002
4.000000e+001	3.710550e-002
4.000000e+001	3.704440e-002
4.000000e+001	3.701730e-002
4.000000e+001	3.695930e-002
4.000000e+001	3.688710e-002
4.000000e+001	3.684310e-002
4.000000e+001	3.676960e-002
4.000000e+001	3.669340e-002
4.000000e+001	3.660760e-002
4.000000e+001	3.652540e-002
4.000000e+001	3.647310e-002
4.000000e+001	3.637270e-002
4.000000e+001	3.631110e-002
4.000000e+001	3.622070e-002
4.000000e+001	3.612690e-002
4.000000e+001	3.604730e-002
4.000000e+001	3.596180e-002
4.000000e+001	3.586710e-002
4.000000e+001	3.579650e-002
4.000000e+001	3.573210e-002
4.000000e+001	3.563490e-002
4.000000e+001	3.560530e-002
4.000000e+001	3.553620e-002
4.000000e+001	3.547200e-002
4.000000e+001	3.540870e-002
4.000000e+001	3.533120e-002
4.000000e+001	3.527980e-002
4.000000e+001	3.524260e-002
4.000000e+001	3.518300e-002
4.000000e+001	3.512350e-002
4.000000e+001	3.511560e-002
4.000000e+001	3.502000e-002
4.000000e+001	3.498610e-002
4.000000e+001	3.486350e-002
4.000000e+001	3.484600e-002
4.000000e+001	3.480800e-002
4.000000e+001	3.473820e-002
4.000000e+001	3.469770e-002
4.000000e+001	3.465770e-002
4.000000e+001	3.458370e-002
4.000000e+001	3.454160e-002
4.000000e+001	3.447560e-002
4.000000e+001	3.441050e-002
4.000000e+001	3.437550e-002
4.000000e+001	3.430220e-002
4.000000e+001	3.424620e-002
4.000000e+001	3.420130e-002
4.000000e+001	3.411860e-002
4.000000e+001	3.405830e-002
4.000000e+001	3.394710e-002
4.000000e+001	3.387970e-002
4.000000e+001	3.382260e-002
4.000000e+001	3.371650e-002
4.000000e+001	3.366450e-002
4.000000e+001	3.361260e-002
4.000000e+001	3.354250e-002
4.000000e+001	3.350320e-002
4.000000e+001	3.344020e-002
4.000000e+001	3.341960e-002
4.000000e+001	3.334500e-002
4.000000e+001	3.327500e-002
4.000000e+001	3.321710e-002
4.000000e+001	3.318400e-002
4.000000e+001	3.311210e-002
4.000000e+001	3.308110e-002
4.000000e+001	3.302970e-002
4.000000e+001	3.296800e-002
4.000000e+001	3.294100e-002
4.000000e+001	3.291670e-002
4.000000e+001	3.287740e-002
4.000000e+001	3.282220e-002
4.000000e+001	3.280880e-002
4.000000e+001	3.274220e-002
4.000000e+001	3.270780e-002
4.000000e+001	3.266510e-002
4.000000e+001	3.262530e-002
4.000000e+001	3.259530e-002
4.000000e+001	3.252840e-002
4.000000e+001	3.248540e-002
4.000000e+001	3.243840e-002
4.000000e+001	3.244010e-002
4.000000e+001	3.236170e-002
4.000000e+001	3.234180e-002
4.000000e+001	3.228470e-002
4.000000e+001	3.226160e-002
4.000000e+001	3.223180e-002
4.000000e+001	3.219550e-002
4.000000e+001	3.218480e-002
4.000000e+001	3.216960e-002
4.000000e+001	3.219270e-002
4.000000e+001	3.216680e-002
4.000000e+001	3.215790e-002
4.000000e+001	3.214460e-002
4.000000e+001	3.216720e-002
4.000000e+001	3.215660e-002
4.000000e+001	3.211290e-002
4.000000e+001	3.213870e-002
4.000000e+001	3.210430e-002
4.000000e+001	3.209220e-002
4.000000e+001	3.212550e-002
4.000000e+001	3.207290e-002
4.000000e+001	3.204830e-002
4.000000e+001	3.202270e-002
4.000000e+001	3.199460e-002
4.000000e+001	3.205630e-002
4.000000e+001	3.201430e-002
4.000000e+001	3.196260e-002
4.000000e+001	3.192920e-002
4.000000e+001	3.190500e-002
4.000000e+001	3.187330e-002
4.000000e+001	3.182980e-002
4.000000e+001	3.178650e-002
4.000000e+001	3.174140e-002
4.000000e+001	3.169410e-002
4.000000e+001	3.165840e-002
4.000000e+001	3.161960e-002
4.000000e+001	3.155190e-002
4.000000e+001	3.151090e-002
4.000000e+001	3.147150e-002
4.000000e+001	3.143790e-002
4.000000e+001	3.139330e-002
4.000000e+001	3.135280e-002
4.000000e+001	3.132730e-002
4.000000e+001	3.129420e-002
4.000000e+001	3.124790e-002
4.000000e+001	3.121060e-002
4.000000e+001	3.118220e-002
4.000000e+001	3.116000e-002
4.000000e+001	3.110530e-002
4.000000e+001	3.108840e-002
4.000000e+001	3.104840e-002
4.000000e+001	3.101310e-002
4.000000e+001	3.099850e-002
4.000000e+001	3.098270e-002
4.000000e+001	3.095040e-002
4.000000e+001	3.093620e-002
4.000000e+001	3.091220e-002
4.000000e+001	3.087150e-002
4.000000e+001	3.087010e-002
4.000000e+001	3.082940e-002
4.000000e+001	3.078990e-002
4.000000e+001	3.077120e-002
4.000000e+001	3.071250e-002
4.000000e+001	3.069210e-002
4.000000e+001	3.068100e-002
4.000000e+001	3.063090e-002
4.000000e+001	3.057570e-002
4.000000e+001	3.056090e-002
4.000000e+001	3.051690e-002
4.000000e+001	3.047870e-002
4.000000e+001	3.050040e-002
4.000000e+001	3.047260e-002
4.000000e+001	3.046260e-002
4.000000e+001	3.046570e-002
4.000000e+001	3.044290e-002
4.000000e+001	3.045040e-002
4.000000e+001	3.042740e-002
4.000000e+001	3.047510e-002
4.000000e+001	3.042880e-002
4.000000e+001	3.041850e-002
4.000000e+001	3.041720e-002
4.000000e+001	3.039340e-002
4.000000e+001	3.038260e-002
4.000000e+001	3.038060e-002
4.000000e+001	3.035570e-002
4.000000e+001	3.033600e-002
4.000000e+001	3.031330e-002
4.000000e+001	3.030680e-002
4.000000e+001	3.027650e-002
4.000000e+001	3.026300e-002
4.000000e+001	3.025980e-002
4.000000e+001	3.022200e-002
4.000000e+001	3.021250e-002
4.000000e+001	3.020350e-002
4.000000e+001	3.018860e-002
4.000000e+001	3.016670e-002
4.000000e+001	3.017930e-002
4.000000e+001	3.015190e-002
4.000000e+001	3.015040e-002
4.000000e+001	3.020480e-002
4.000000e+001	3.018040e-002
4.000000e+001	3.016680e-002
4.000000e+001	3.019420e-002
4.000000e+001	3.019780e-002
4.000000e+001	3.022230e-002
4.000000e+001	3.023030e-002
4.000000e+001	3.024910e-002
4.000000e+001	3.026770e-002
4.000000e+001	3.028390e-002
4.000000e+001	3.027540e-002
4.000000e+001	3.029510e-002
4.000000e+001	3.032940e-002
4.000000e+001	3.031470e-002
4.000000e+001	3.028710e-002
4.000000e+001	3.030010e-002
4.000000e+001	3.027680e-002
4.000000e+001	3.025220e-002
4.000000e+001	3.029490e-002
4.000000e+001	3.026160e-002
4.000000e+001	3.022060e-002
4.000000e+001	3.019610e-002
4.000000e+001	3.015400e-002
4.000000e+001	3.013370e-002
4.000000e+001	3.007010e-002
4.000000e+001	3.008360e-002
4.000000e+001	3.009620e-002
4.000000e+001	3.001960e-002
4.000000e+001	3.004550e-002
4.000000e+001	2.999350e-002
4.000000e+001	2.996490e-002
4.000000e+001	2.993770e-002
4.000000e+001	2.991160e-002
4.000000e+001	2.988930e-002
